UserId,PlaceId,TimeVisited
244,1132,2019-05-09 08:33:06
132,2196,2019-07-31 11:52:14
852,2201,2018-11-10 21:27:11
719,238,2018-06-18 20:29:03
758,2605,2018-06-20 21:57:43
462,742,2018-11-11 10:22:59
595,2707,2019-10-07 17:06:22
85,2211,2017-12-18 04:29:38
618,842,2018-03-25 17:24:20
661,806,2019-07-06 05:50:22
962,727,2018-07-08 11:00:17
767,774,2019-08-29 22:19:03
527,2576,2018-06-14 23:25:58
842,1213,2018-12-18 23:00:27
277,2802,2018-04-07 08:36:22
547,1139,2019-11-11 05:21:40
896,2863,2019-04-15 15:51:09
122,1829,2018-12-30 00:05:16
660,2532,2019-11-07 08:55:14
8,1274,2019-05-22 02:03:48
584,1416,2018-10-10 21:21:24
339,1503,2017-12-16 09:47:51
869,1720,2018-10-26 15:03:09
723,617,2017-11-22 05:24:37
401,375,2019-05-24 03:45:33
786,2143,2019-06-25 15:37:13
980,305,2019-01-10 13:16:51
552,291,2019-11-02 10:15:35
379,1080,2019-04-12 19:26:38
298,2066,2018-06-26 22:36:45
189,87,2018-01-16 02:49:26
503,846,2019-03-06 10:35:22
514,1383,2019-10-11 10:29:32
294,772,2019-03-09 11:39:42
67,1088,2017-11-23 02:24:46
360,673,2018-12-09 17:59:04
876,1197,2018-04-19 13:18:27
47,2887,2019-01-29 22:55:13
704,742,2018-05-18 10:15:37
282,2209,2018-05-24 08:55:02
622,1111,2018-01-07 03:43:06
249,1138,2018-10-09 22:18:24
157,822,2018-01-31 16:43:10
338,263,2019-06-03 04:48:47
105,303,2018-04-28 09:34:54
870,354,2018-09-28 14:18:26
709,984,2018-11-14 07:06:53
968,2723,2019-05-17 03:36:19
456,2067,2018-08-17 13:31:32
7,2385,2019-04-23 06:33:47
369,2867,2018-04-26 12:46:46
309,442,2018-07-18 02:53:25
930,676,2019-07-14 20:33:07
844,427,2019-05-20 22:04:11
496,2140,2019-11-03 05:45:27
691,1540,2018-02-17 12:22:59
95,1540,2019-03-31 03:39:22
273,1418,2018-01-04 05:17:36
597,2776,2019-03-30 18:22:42
959,2019,2019-04-01 11:38:45
655,1258,2019-08-28 14:11:48
774,624,2018-06-21 11:39:33
239,2462,2019-05-12 09:36:40
226,805,2019-10-21 03:59:35
200,2826,2018-11-29 16:03:14
161,2359,2018-12-11 04:22:33
143,1508,2018-03-01 19:14:32
120,2652,2019-05-22 21:24:02
689,308,2019-04-16 07:09:47
332,929,2018-11-10 02:37:38
613,1885,2019-10-26 11:46:06
953,961,2018-01-18 07:57:31
81,1360,2018-06-21 22:19:32
590,2519,2017-12-05 20:34:10
260,1852,2018-06-03 18:01:55
643,924,2018-11-17 16:41:06
987,1846,2018-01-11 17:35:05
198,1074,2018-08-02 18:46:39
914,1431,2019-04-04 07:14:02
292,2111,2018-07-06 07:25:32
261,2116,2018-04-22 15:58:45
977,2803,2018-07-22 10:21:40
489,462,2018-02-05 21:22:18
712,12,2019-11-10 08:13:23
56,606,2018-05-06 09:46:33
630,2226,2018-09-25 12:46:50
442,1160,2018-03-15 00:01:56
890,725,2018-04-18 15:33:03
590,77,2018-09-17 10:24:38
684,67,2018-09-24 15:51:58
92,1031,2018-03-27 01:08:29
184,1452,2019-06-13 07:22:44
430,1862,2019-04-21 15:37:20
283,2648,2018-06-10 04:03:31
279,2113,2019-08-20 19:02:51
633,974,2019-06-18 10:22:31
574,1331,2018-09-12 00:00:52
789,1758,2018-01-02 19:40:17
930,24,2018-12-15 15:26:01
425,2056,2019-01-10 02:33:27
167,1129,2018-02-16 12:02:46
993,688,2019-06-12 14:15:37
129,797,2018-10-10 02:02:39
402,2809,2018-09-04 08:31:45
796,1365,2019-08-03 16:09:48
980,1884,2019-05-03 12:30:10
548,1988,2019-08-11 15:27:07
867,2280,2018-08-09 08:21:44
303,246,2018-06-24 07:23:08
791,1578,2019-07-29 16:53:35
733,1961,2019-08-05 09:52:29
501,382,2018-12-19 19:04:10
834,1257,2018-03-23 01:04:04
675,67,2019-01-19 20:38:36
734,681,2018-11-27 08:49:17
791,1726,2018-06-19 05:32:37
952,607,2018-06-23 00:03:11
729,2025,2019-05-06 19:08:04
108,1786,2018-10-09 01:23:01
97,1135,2019-06-11 11:04:42
142,2463,2019-03-13 03:56:56
