"PlaceId";"Name";"Type";"Capacity";"fips"
1;"WAWONA";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;RV NONELECTRIC;EQUESTRIAN NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC";99;"6043.0"
2;"TUOLUMNE MEADOWS";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC;EQUESTRIAN NONELECTRIC";315;"6109.0"
3;"UPPER PINES";"STANDARD NONELECTRIC;RV NONELECTRIC;TENT ONLY NONELECTRIC";240;"6043.0"
4;"WATCHMAN CAMPGROUND";"GROUP TENT ONLY AREA NONELECTRIC;STANDARD ELECTRIC;TENT ONLY NONELECTRIC;RV ELECTRIC;WALK TO";189;"49053.0"
5;"NORTH PINES";"STANDARD NONELECTRIC;RV NONELECTRIC";93;"6043.0"
6;"CRANE FLAT";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;RV NONELECTRIC";166;"6109.0"
7;"BRIDALVEIL CREEK GROUP AND HORSE CAMP";"EQUESTRIAN NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC";5;"6043.0"
8;"DRY CREEK GROUP CAMPGROUND (Whiskeytown NRA)";"GROUP STANDARD NONELECTRIC";2;"6089.0"
9;"SOUTH MANITOU GROUP";"GROUP TENT ONLY AREA NONELECTRIC";6;"26089.0"
10;"D.H. DAY GROUP";"GROUP TENT ONLY AREA NONELECTRIC";4;"26089.0"
11;"PLATTE RIVER CAMPGROUND";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC;STANDARD ELECTRIC;GROUP TENT ONLY AREA NONELECTRIC";122;"26019.0"
12;"LOWER PINES";"STANDARD NONELECTRIC;RV NONELECTRIC";75;"6043.0"
13;"HODGDON MEADOW";"GROUP TENT ONLY AREA NONELECTRIC;STANDARD NONELECTRIC;TENT ONLY NONELECTRIC";108;"6109.0"
14;"Lodgepole Campground-Sequoia and Kings Canyon National Park";"TENT ONLY NONELECTRIC;WALK TO;STANDARD NONELECTRIC;RV NONELECTRIC";191;"6107.0"
15;"GLACIER BASIN CAMPGROUND";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC";161;"8069.0"
16;"MORAINE PARK CAMPGROUND";"STANDARD NONELECTRIC;WALK TO;TENT ONLY NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC";253;"8069.0"
17;"BIG MEADOWS";"STANDARD NONELECTRIC;WALK TO;GROUP STANDARD NONELECTRIC";224;"51113.0"
18;"Dorst Creek Campground-Sequoia and Kings Canyon National Par";"STANDARD NONELECTRIC;RV NONELECTRIC;WALK TO;TENT ONLY NONELECTRIC;GROUP STANDARD AREA NONELECTRIC";202;"6107.0"
19;"BROOKS CAMP (Search under Permits - Katmai NP)";"TENT ONLY NONELECTRIC";60;"2164.0"
20;"COUGAR ROCK CAMPGROUND";"STANDARD NONELECTRIC;RV NONELECTRIC;GROUP STANDARD NONELECTRIC";188;"53053.0"
21;"KALALOCH";"RV NONELECTRIC;STANDARD NONELECTRIC";168;"53031.0"
22;"OHANAPECOSH CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;RV NONELECTRIC";195;"53041.0"
23;"MAMMOTH CAVE CAMPGROUND";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC;RV ELECTRIC";111;"21061.0"
24;"MAPLE SPRINGS";"GROUP TENT ONLY AREA NONELECTRIC;EQUESTRIAN ELECTRIC;EQUESTRIAN NONELECTRIC";7;"21061.0"
25;"BLACK ROCK CAMPGROUND";"TENT ONLY NONELECTRIC;STANDARD NONELECTRIC";99;"6071.0"
26;"SMOKEMONT CAMPGROUND";"STANDARD NONELECTRIC;RV NONELECTRIC";142;"37173.0"
27;"ELKMONT CAMPGROUND";"STANDARD NONELECTRIC;WALK TO;STANDARD ELECTRIC;TENT ONLY NONELECTRIC";217;"47155.0"
28;"SHEEP PASS GROUP";"GROUP TENT ONLY AREA NONELECTRIC";6;"6065.0"
29;"COTTONWOOD GROUP";"GROUP TENT ONLY AREA NONELECTRIC";3;"6065.0"
30;"INDIAN COVE CAMPGROUND";"STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC";114;"6071.0"
31;"DEEP CREEK GROUP CAMP";"GROUP TENT ONLY AREA NONELECTRIC";3;"37173.0"
32;"COSBY CAMPGROUND";"TENT ONLY NONELECTRIC;RV NONELECTRIC;STANDARD NONELECTRIC";157;"47029.0"
33;"TOW STRING HORSE CAMP";"EQUESTRIAN NONELECTRIC";2;"37173.0"
34;"CATALOOCHEE HORSE CAMP";"EQUESTRIAN NONELECTRIC";7;"37087.0"
35;"ROUND BOTTOM HORSE CAMP";"EQUESTRIAN NONELECTRIC";5;"37173.0"
36;"BIG CREEK HORSE CAMP";"EQUESTRIAN NONELECTRIC";5;"37087.0"
37;"ANTHONY CREEK HORSE CAMP";"EQUESTRIAN NONELECTRIC";3;"47009.0"
38;"NORTH RIM CAMPGROUND";"GROUP TENT ONLY AREA NONELECTRIC;STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;WALK TO";125;"4005.0"
39;"SANTA BARBARA ISLAND";"TENT ONLY NONELECTRIC";10;"6083.0"
40;"ANACAPA ISLAND";"TENT ONLY NONELECTRIC";7;"6111.0"
41;"MATHER CAMPGROUND";"WALK TO;RV NONELECTRIC;STANDARD NONELECTRIC;TENT ONLY NONELECTRIC;GROUP TENT ONLY AREA NONELECTRIC;EQUESTRIAN NONELECTRIC";357;"4005.0"
