"CountyName";"StateName";"CrimeRate";"fips"
"Abbeville County";"Abbeville County";511.8567;"45001.0"
"Acadia Parish";"Acadia Parish";163.9766;"22001.0"
"Accomack County";"Accomack County";190.0567;"51001.0"
"Ada County";"Ada County";206.5004;"16001.0"
"Adair County";"Adair County";310.8948;"40001.0"
"Adams County";"Adams County";385.208;"19003.0"
"Addison County";"Addison County";59.7972;"50001.0"
"Aiken County";"Aiken County";331.3517;"45003.0"
"Aitkin County";"Aitkin County";139.7535;"27001.0"
"Alachua County";"Alachua County";605.2452;"12001.0"
"Alamance County";"Alamance County";436.5907;"37001.0"
"Alameda County";"Alameda County";753.6936;"6001.0"
"Alamosa County";"Alamosa County";178.4286;"8003.0"
"Albany County";"Albany County";330.6781;"36001.0"
"Albemarle County";"Albemarle County";103.8835;"51003.0"
"Alcona County";"Alcona County";132.3502;"26001.0"
"Alcorn County";"Alcorn County";0.0;"28003.0"
"Aleutians East Borough";"Aleutians East Borough";0.0;"2013.0"
"Aleutians West Census Area";"Aleutians West Census Area";235.8919;"2016.0"
"Alexander County";"Alexander County";1664.7005;"17003.0"
"Alexandria city";"Alexandria city";164.5488;"51510.0"
"Alfalfa County";"Alfalfa County";119.7195;"40003.0"
"Alger County";"Alger County";157.5299;"26003.0"
"Allamakee County";"Allamakee County";84.6919;"19005.0"
"Allegan County";"Allegan County";200.8335;"26005.0"
"Allegany County";"Allegany County";364.5217;"24001.0"
"Alleghany County";"Alleghany County";105.1915;"51005.0"
"Allegheny County";"Allegheny County";409.4916;"42003.0"
"Allen County";"Allen County";530.8743;"39003.0"
"Allen Parish";"Allen Parish";93.9813;"22003.0"
"Allendale County";"Allendale County";376.0545;"45005.0"
"Alpena County";"Alpena County";182.1869;"26007.0"
"Alpine County";"Alpine County";690.2502;"6003.0"
"Amador County";"Amador County";355.9791;"6005.0"
"Amelia County";"Amelia County";204.0016;"51007.0"
"Amherst County";"Amherst County";46.6157;"51009.0"
"Amite County";"Amite County";62.0203;"28005.0"
"Anchorage Municipality";"Anchorage Municipality";824.7217;"2020.0"
"Anderson County";"Anderson County";600.0808;"45007.0"
"Andrew County";"Andrew County";80.2522;"29003.0"
"Andrews County";"Andrews County";547.6516;"48003.0"
"Androscoggin County";"Androscoggin County";141.2587;"23001.0"
"Angelina County";"Angelina County";381.9718;"48005.0"
"Anne Arundel County";"Anne Arundel County";442.1108;"24003.0"
"Anoka County";"Anoka County";137.836;"27003.0"
"Anson County";"Anson County";531.3253;"37007.0"
"Antelope County";"Antelope County";61.9579;"31003.0"
"Antrim County";"Antrim County";154.0436;"26009.0"
"Apache County";"Apache County";95.9213;"4001.0"
"Appanoose County";"Appanoose County";330.9171;"19007.0"
"Appling County";"Appling County";162.6898;"13001.0"
"Appomattox County";"Appomattox County";32.7761;"51011.0"
"Aransas County";"Aransas County";246.3459;"48007.0"
"Arapahoe County";"Arapahoe County";297.9887;"8005.0"
"Archer County";"Archer County";138.2329;"48009.0"
"Archuleta County";"Archuleta County";196.8181;"8007.0"
"Arenac County";"Arenac County";154.9687;"26011.0"
"Arkansas County";"Arkansas County";591.1487;"5001.0"
"Arlington County";"Arlington County";135.6122;"51013.0"
"Armstrong County";"Armstrong County";96.9063;"42005.0"
"Aroostook County";"Aroostook County";84.2195;"23003.0"
"Arthur County";"Arthur County";0.0;"31005.0"
"Ascension Parish";"Ascension Parish";67.3118;"22005.0"
"Ashe County";"Ashe County";103.127;"37009.0"
"Ashland County";"Ashland County";330.9191;"55003.0"
"Ashley County";"Ashley County";244.3265;"5003.0"
"Ashtabula County";"Ashtabula County";94.178;"39007.0"
"Asotin County";"Asotin County";226.142;"53003.0"
"Assumption Parish";"Assumption Parish";375.2102;"22007.0"
"Atascosa County";"Atascosa County";161.3828;"48013.0"
"Atchison County";"Atchison County";358.2303;"20005.0"
"Athens County";"Athens County";85.0327;"39009.0"
"Atkinson County";"Atkinson County";373.9445;"13003.0"
"Atlantic County";"Atlantic County";457.4751;"34001.0"
"Atoka County";"Atoka County";93.5386;"40005.0"
"Attala County";"Attala County";93.1822;"28007.0"
"Audrain County";"Audrain County";175.3634;"29007.0"
"Audubon County";"Audubon County";68.1083;"19009.0"
"Auglaize County";"Auglaize County";39.1986;"39011.0"
"Augusta County";"Augusta County";117.7075;"51015.0"
"Aurora County";"Aurora County";0.0;"46003.0"
"Austin County";"Austin County";194.1276;"48015.0"
"Autauga County";"Autauga County";251.6019;"1001.0"
"Avery County";"Avery County";135.4937;"37011.0"
"Avoyelles Parish";"Avoyelles Parish";777.2585;"22009.0"
"Baca County";"Baca County";135.7958;"8009.0"
"Bacon County";"Bacon County";392.2967;"13005.0"
"Bailey County";"Bailey County";140.5679;"48017.0"
"Baker County";"Baker County";236.923;"12003.0"
"Baldwin County";"Baldwin County";501.7485;"13009.0"
"Ballard County";"Ballard County";120.0192;"21007.0"
"Baltimore city";"Baltimore city";1419.5376;"24510.0"
"Baltimore County";"Baltimore County";508.0102;"24005.0"
"Bamberg County";"Bamberg County";699.9352;"45009.0"
"Bandera County";"Bandera County";111.6451;"48019.0"
"Banks County";"Banks County";298.6696;"13011.0"
"Banner County";"Banner County";0.0;"31007.0"
"Bannock County";"Bannock County";235.4383;"16005.0"
"Baraga County";"Baraga County";161.0121;"26013.0"
"Barber County";"Barber County";282.9998;"20007.0"
"Barbour County";"Barbour County";262.3733;"54001.0"
"Barnes County";"Barnes County";107.2386;"38003.0"
"Barnstable County";"Barnstable County";421.4149;"25001.0"
"Barnwell County";"Barnwell County";953.931;"45011.0"
"Barren County";"Barren County";116.2061;"21009.0"
"Barron County";"Barron County";100.7093;"55005.0"
"Barrow County";"Barrow County";460.4425;"13013.0"
"Barry County";"Barry County";281.12;"29009.0"
"Bartholomew County";"Bartholomew County";168.3692;"18005.0"
"Barton County";"Barton County";425.3154;"20009.0"
"Bartow County";"Bartow County";407.8086;"13015.0"
"Bastrop County";"Bastrop County";336.3007;"48021.0"
"Bates County";"Bates County";308.1571;"29013.0"
"Bath County";"Bath County";43.3276;"51017.0"
"Baxter County";"Baxter County";119.6377;"5005.0"
"Bay County";"Bay County";497.1798;"12005.0"
"Bayfield County";"Bayfield County";125.3629;"55007.0"
"Baylor County";"Baylor County";166.021;"48023.0"
"Beadle County";"Beadle County";237.8319;"46005.0"
"Bear Lake County";"Bear Lake County";84.1326;"16007.0"
"Beaufort County";"Beaufort County";536.5519;"45013.0"
"Beauregard Parish";"Beauregard Parish";182.4868;"22011.0"
"Beaver County";"Beaver County";319.1958;"42007.0"
"Beaverhead County";"Beaverhead County";74.9384;"30001.0"
"Becker County";"Becker County";81.2494;"27005.0"
"Beckham County";"Beckham County";160.7649;"40009.0"
"Bedford city";"Bedford city";201.7485;"51515.0"
"Bedford County";"Bedford County";383.4339;"47003.0"
"Bee County";"Bee County";182.9324;"48025.0"
"Belknap County";"Belknap County";207.7137;"33001.0"
"Bell County";"Bell County";402.9458;"48027.0"
"Belmont County";"Belmont County";47.4336;"39013.0"
"Beltrami County";"Beltrami County";240.8583;"27007.0"
"Ben Hill County";"Ben Hill County";508.1359;"13017.0"
"Benewah County";"Benewah County";276.4264;"16009.0"
"Bennett County";"Bennett County";260.7184;"46007.0"
"Bennington County";"Bennington County";155.4871;"50003.0"
"Benson County";"Benson County";43.6237;"38005.0"
"Bent County";"Bent County";246.1322;"8011.0"
"Benton County";"Benton County";443.6932;"29015.0"
