"Latitude";"Longitude";"Elevation";"Population";"State";"County";"fips"
0.0;0.0;0.0;"RURAL";"Alabama";"Baldwin";"1003.0"
13.33333;144.83333;99.99999;"SUBURBAN";"Guam";"Guam";"66010.0"
13.33371;144.83217;6.0;"URBAN AND CENTER CITY";"Guam";"Guam";"66010.0"
13.33371;144.84967;99.99999;"SUBURBAN";"Guam";"Guam";"66010.0"
13.35316;144.75578;99.99999;"SUBURBAN";"Guam";"Guam";"66010.0"
13.40093;144.83217;66.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.42121;144.83217;17.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.43917;144.78722;99.99999;"SUBURBAN";"Guam";"Guam";"66010.0"
13.44065;144.83217;9.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.44343;144.83217;8.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.46065;144.83217;64.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.46093;144.83217;64.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.46167;144.83333;18.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.46259;144.83078;99.99999;"RURAL";"Guam";"Guam";"66010.0"
13.46259;144.83217;6.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.46343;144.83217;7.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.46389;144.83333;5.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.47611;144.83333;7.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.4837;144.76995;10.0;"URBAN AND CENTER CITY";"Guam";"Guam";"66010.0"
13.49898;144.77245;27.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.50314;144.80522;51.0;"SUBURBAN";"Guam";"Guam";"66010.0"
13.50342;144.87161;99.99999;"RURAL";"Guam";"Guam";"66010.0"
17.70497;-64.78015;6.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.70831;-64.79348;29.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.71247;-64.78487;15.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.71457;-64.77498;7.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.71609;-64.78292;3.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.7172;-64.77459;6.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.71846;-64.76609;7.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.71874;-64.78276;11.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.72053;-64.77626;52.0;"SUBURBAN";"Virgin Islands";"St Croix";"78010.0"
17.72528;-64.78028;7.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.73247;-64.78292;61.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.73386;-64.76626;1.0;"URBAN AND CENTER CITY";"Virgin Islands";"St Croix";"78010.0"
17.7397;-64.75153;85.0;"RURAL";"Virgin Islands";"St Croix";"78010.0"
17.75207;-64.71609;6.0;"SUBURBAN";"Virgin Islands";"St Croix";"78010.0"
17.95301;-66.26146;59.0;"RURAL";"Puerto Rico";"Salinas";"72123.0"
17.95789;-66.16502;5.0;"RURAL";"Puerto Rico";"Guayama";"72057.0"
17.959;-66.16668;57.0;"URBAN AND CENTER CITY";"Puerto Rico";"Guayama";"72057.0"
17.96376;-66.25421;0.01;"RURAL";"Puerto Rico";"Salinas";"72123.0"
17.96731;-66.18615;0.0;"RURAL";"Puerto Rico";"Guayama";"72057.0"
17.96764;-66.18747;0.0;"RURAL";"Puerto Rico";"Guayama";"72057.0"
17.97163;-66.90601;9.0;"URBAN AND CENTER CITY";"Puerto Rico";"Guanica";"72055.0"
17.98444;-66.28963;60.0;"URBAN AND CENTER CITY";"Puerto Rico";"Salinas";"72123.0"
18.00608;-66.77073;5.0;"SUBURBAN";"Puerto Rico";"Guayanilla";"72059.0"
18.00635;-66.77073;5.0;"SUBURBAN";"Puerto Rico";"Guayanilla";"72059.0"
18.00691;-66.75684;85.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.00802;-66.76129;96.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.009;-66.6328;21.0;"SUBURBAN";"Puerto Rico";"Ponce";"72113.0"
18.00941;-66.75351;90.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.00956;-66.62725;0.0;"URBAN AND CENTER CITY";"Puerto Rico";"Ponce";"72113.0"
18.01135;-66.60628;17.0;"URBAN AND CENTER CITY";"Puerto Rico";"Ponce";"72113.0"
18.01428;-66.61169;24.0;"URBAN AND CENTER CITY";"Puerto Rico";"Ponce";"72113.0"
18.0158;-66.78851;6.0;"SUBURBAN";"Puerto Rico";"Guayanilla";"72059.0"
18.01691;-66.77629;20.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.0183;-66.77601;0.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.01858;-66.76629;50.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.01885;-66.76656;26.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.02024;-66.77906;75.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.02123;-66.76614;50.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.02585;-66.76965;55.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.04456;-66.79725;7.4;"URBAN AND CENTER CITY";"Puerto Rico";"Guayanilla";"72059.0"
18.04511;-66.80225;0.0;"RURAL";"Puerto Rico";"Guayanilla";"72059.0"
18.04691;-65.87877;99.99999;"URBAN AND CENTER CITY";"Puerto Rico";"Yabucoa";"72151.0"
18.05024;-65.87461;50.0;"RURAL";"Puerto Rico";"Yabucoa";"72151.0"
18.0508;-65.87461;0.0;"URBAN AND CENTER CITY";"Puerto Rico";"Yabucoa";"72151.0"
18.05135;-65.88933;15.0;"SUBURBAN";"Puerto Rico";"Yabucoa";"72151.0"
18.05761;-66.71559;13.0;"URBAN AND CENTER CITY";"Puerto Rico";"Penuelas";"72111.0"
18.06011;-66.72308;65.0;"SUBURBAN";"Puerto Rico";"Penuelas";"72111.0"
18.09774;-65.47599;0.0;"RURAL";"Puerto Rico";"Vieques";"72147.0"
18.15024;-65.4421;0.0;"URBAN AND CENTER CITY";"Puerto Rico";"Vieques";"72147.0"
18.15344;-65.82862;0.0;"URBAN AND CENTER CITY";"Puerto Rico";"Humacao";"72069.0"
18.15344;-65.43556;0.0;"SUBURBAN";"Puerto Rico";"Vieques";"72147.0"
18.17538;-66.72599;99.99999;"RURAL";"Puerto Rico";"Adjuntas";"72001.0"
18.17794;-65.91548;99.99999;"URBAN AND CENTER CITY";"Puerto Rico";"Juncos";"72077.0"
18.19871;-66.05224;8.3;"URBAN AND CENTER CITY";"Puerto Rico";"Caguas";"72025.0"
18.2001;-67.14588;20.82;"URBAN AND CENTER CITY";"Puerto Rico";"Mayagnez";"72097.0"
18.20773;-67.14601;0.0;"URBAN AND CENTER CITY";"Puerto Rico";"Mayagnez";"72097.0"
18.21094;-67.13893;21.0;"URBAN AND CENTER CITY";"Puerto Rico";"Mayagnez";"72097.0"
18.22788;-66.05196;81.0;"URBAN AND CENTER CITY";"Puerto Rico";"Caguas";"72025.0"
18.23333;-66.03647;0.0;"URBAN AND CENTER CITY";"Puerto Rico";"Caguas";"72025.0"
18.26051;-66.85406;0.0;"URBAN AND CENTER CITY";"Puerto Rico";"Lares";"72081.0"
18.27329;-65.77822;99.99999;"RURAL";"Puerto Rico";"Rio Grande";"72119.0"
18.2744;-65.77822;0.0;"RURAL";"Puerto Rico";"Fajardo";"72053.0"
18.29384;-65.791;99.99999;"SUBURBAN";"Puerto Rico";"Guayama";"72057.0"
18.30079;-65.64433;10.0;"SUBURBAN";"Puerto Rico";"Fajardo";"72053.0"
18.3344;-64.79597;80.0;"RURAL";"Virgin Islands";"St John";"78020.0"
