"ReviewId";"CreatedTime";"Content";"Rating";"UserId";"PlaceId"
1;"2018-09-11 21:30:50";"""Cum sociis natoque penatibus et magnis dis parturient montes";0.0;2;75
2;"2019-03-14 01:22:56";"Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.";4.0;359;2296
3;"2018-10-27 21:35:46";"Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.";3.0;186;2193
4;"2018-12-16 14:27:00";"In sagittis dui vel nisl.";0.0;945;1309
5;"2018-01-03 12:38:30";"Aenean fermentum.";1.0;370;2080
6;"2018-11-21 14:08:26";"Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.";4.0;321;2305
7;"2019-04-01 15:21:00";"Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.";2.0;297;1758
8;"2019-10-02 14:46:55";"Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.";3.0;771;387
9;"2019-11-12 19:15:37";"Duis bibendum.";1.0;917;1775
10;"2018-03-10 01:18:27";"Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.";3.0;876;2192
11;"2017-11-23 15:14:13";"In congue. Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.";1.0;637;2775
12;"2019-05-03 20:58:37";"Phasellus sit amet erat. Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.";3.0;984;528
13;"2019-11-09 12:16:24";"Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.";5.0;466;2742
14;"2019-07-08 20:11:05";"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor.";5.0;515;627
15;"2018-05-14 07:42:17";"Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";0.0;51;562
16;"2019-04-01 01:30:34";"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.";5.0;92;2164
17;"2019-09-17 08:58:44";"Nulla tellus. In sagittis dui vel nisl.";1.0;44;2325
18;"2019-10-09 17:46:50";"In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.";1.0;472;1330
19;"2018-01-19 01:23:46";"Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.";4.0;64;388
20;"2018-12-31 23:48:52";"Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.";2.0;697;38
21;"2019-06-25 14:43:11";"""Cum sociis natoque penatibus et magnis dis parturient montes";0.0;3;914
22;"2018-03-20 07:54:14";"Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.";5.0;661;2606
23;"2019-01-05 18:56:48";"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.";0.0;113;1843
