FacilityID,FacilityLatitude,FacilityLongitude,FacilityName,count,type
232446,37.5730555556,-119.665,WAWONA,99,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,RV NONELECTRIC,EQUESTRIAN NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232448,37.8711111111,-119.36,TUOLUMNE MEADOWS,315,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC,EQUESTRIAN NONELECTRIC"
232447,37.7361111111,-119.5625,UPPER PINES,240,"STANDARD NONELECTRIC,RV NONELECTRIC,TENT ONLY NONELECTRIC"
232445,37.1986111111,-112.986388889,WATCHMAN CAMPGROUND,189,"GROUP TENT ONLY AREA NONELECTRIC,STANDARD ELECTRIC,TENT ONLY NONELECTRIC,RV ELECTRIC,WALK TO"
232449,37.7419444444,-119.565555556,NORTH PINES,93,"STANDARD NONELECTRIC,RV NONELECTRIC"
232452,37.7638888889,-119.84444444399999,CRANE FLAT,166,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,RV NONELECTRIC"
232453,37.6622222222,-119.61972222200001,BRIDALVEIL CREEK GROUP AND HORSE CAMP,5,"EQUESTRIAN NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232455,40.6255555556,-122.58083333299999,DRY CREEK GROUP CAMPGROUND (Whiskeytown NRA),2,GROUP STANDARD NONELECTRIC
232456,45.0124638889,-86.0947,SOUTH MANITOU GROUP,6,GROUP TENT ONLY AREA NONELECTRIC
232457,44.8916666667,-86.04277777780001,D.H. DAY GROUP,4,GROUP TENT ONLY AREA NONELECTRIC
232458,44.7127777778,-86.1177777778,PLATTE RIVER CAMPGROUND,122,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,STANDARD ELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232450,37.740833333299996,-119.566666667,LOWER PINES,75,"STANDARD NONELECTRIC,RV NONELECTRIC"
232451,37.798888888899995,-119.865833333,HODGDON MEADOW,108,"GROUP TENT ONLY AREA NONELECTRIC,STANDARD NONELECTRIC,TENT ONLY NONELECTRIC"
232461,36.606711111100005,-118.7258,Lodgepole Campground-Sequoia and Kings Canyon National Park,191,"TENT ONLY NONELECTRIC,WALK TO,STANDARD NONELECTRIC,RV NONELECTRIC"
232462,40.3291666667,-105.59333333299999,GLACIER BASIN CAMPGROUND,161,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232463,40.3625,-105.601944444,MORAINE PARK CAMPGROUND,253,"STANDARD NONELECTRIC,WALK TO,TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232459,38.5286194444,-78.438725,BIG MEADOWS,224,"STANDARD NONELECTRIC,WALK TO,GROUP STANDARD NONELECTRIC"
232460,36.6361111111,-118.809722222,Dorst Creek Campground-Sequoia and Kings Canyon National Par,202,"STANDARD NONELECTRIC,RV NONELECTRIC,WALK TO,TENT ONLY NONELECTRIC,GROUP STANDARD AREA NONELECTRIC"
232469,58.5597222222,-155.778055556,BROOKS CAMP (Search under Permits - Katmai NP),60,TENT ONLY NONELECTRIC
232466,46.767222222200004,-121.79444444399999,COUGAR ROCK CAMPGROUND,188,"STANDARD NONELECTRIC,RV NONELECTRIC,GROUP STANDARD NONELECTRIC"
232464,47.613055555600006,-124.374722222,KALALOCH,168,"RV NONELECTRIC,STANDARD NONELECTRIC"
232465,46.7311111111,-121.57027777799999,OHANAPECOSH CAMPGROUND,195,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,RV NONELECTRIC"
232467,37.1902777778,-86.0913888889,MAMMOTH CAVE CAMPGROUND,111,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC,RV ELECTRIC"
232468,37.207222222199995,-86.1316666667,MAPLE SPRINGS,7,"GROUP TENT ONLY AREA NONELECTRIC,EQUESTRIAN ELECTRIC,EQUESTRIAN NONELECTRIC"
232473,34.071666666700004,-116.38916666700001,BLACK ROCK CAMPGROUND,99,"TENT ONLY NONELECTRIC,STANDARD NONELECTRIC"
232486,35.553333333299996,-83.30861111109999,SMOKEMONT CAMPGROUND,142,"STANDARD NONELECTRIC,RV NONELECTRIC"
232487,35.6583333333,-83.5822222222,ELKMONT CAMPGROUND,217,"STANDARD NONELECTRIC,WALK TO,STANDARD ELECTRIC,TENT ONLY NONELECTRIC"
232470,33.9991666667,-116.118055556,SHEEP PASS GROUP,6,GROUP TENT ONLY AREA NONELECTRIC
232471,33.75,-115.825,COTTONWOOD GROUP,3,GROUP TENT ONLY AREA NONELECTRIC
232472,34.12,-116.15583333299999,INDIAN COVE CAMPGROUND,114,"STANDARD NONELECTRIC,TENT ONLY NONELECTRIC,GROUP TENT ONLY AREA NONELECTRIC"
232478,35.4627777778,-83.4344444444,DEEP CREEK GROUP CAMP,3,GROUP TENT ONLY AREA NONELECTRIC
232479,35.7533333333,-83.2086111111,COSBY CAMPGROUND,157,"TENT ONLY NONELECTRIC,RV NONELECTRIC,STANDARD NONELECTRIC"
232481,35.5394444444,-83.2977777778,TOW STRING HORSE CAMP,2,EQUESTRIAN NONELECTRIC
232482,35.6277777778,-83.1125,CATALOOCHEE HORSE CAMP,7,EQUESTRIAN NONELECTRIC
